"Qual.","Player","Team","POS","BA","OBP","SLG","OPS","GP","PA","AB","R","H","2B","3B","HR","RBI","HBP","BB","K","SB","CS"
0,"Colleen Sullivan","Texas",NA,0.316,0.453,0.59,1.042,50,151,117,15,37,11,0,7,34,7,23,21,0,0
0,"Conchetta Rinaldi","Youngstown State",NA,0.219,0.3,0.333,0.633,48,123,105,12,23,6,0,2,11,2,11,17,1,0
0,"Cori Hoffler","Charlotte",NA,0.333,0.414,0.492,0.907,50,152,132,34,44,12,0,3,17,11,8,17,8,0
0,"Cori McCrary","McNeese",NA,0.307,0.396,0.55,0.947,61,227,189,48,58,14,1,10,32,14,16,34,22,5
0,"Corina Gamboa","Colorado State",NA,0.273,0.315,0.488,0.803,36,130,121,17,33,5,0,7,24,3,5,11,3,0
0,"Courtney Callahan","Michigan State",NA,0.202,0.26,0.27,0.53,37,99,89,7,18,1,1,1,8,0,7,25,3,3
0,"Courtney Cashman","UMass Lowell",NA,0.362,0.487,0.809,1.296,31,117,94,27,34,5,2,11,26,0,23,10,5,2
0,"Courtney Dean","Coastal Carolina",NA,0.207,0.266,0.45,0.717,38,124,111,23,23,1,1,8,24,1,9,19,2,0
0,"Courtney Farrish","Western Michigan",NA,0.264,0.296,0.4,0.696,48,135,125,9,33,6,1,3,18,2,5,26,0,1
0,"Courtney Fernette","Cleveland State",NA,0.198,0.273,0.345,0.618,44,132,116,13,23,5,0,4,16,1,11,23,0,0
0,"Courtney Lanpher","Merrimack",NA,0.25,0.333,0.383,0.717,24,69,60,8,15,2,0,2,4,1,7,19,4,0
0,"Courtney Mahoney","Fairleigh Dickinson",NA,0.271,0.311,0.427,0.738,31,111,96,13,26,9,0,2,13,1,5,12,0,0
0,"Courtney White","Presbyterian",NA,0.207,0.247,0.253,0.5,32,95,87,11,18,4,0,0,8,1,4,18,2,0
0,"Crimson Davis","Texas Southern",NA,0.417,0.467,0.427,0.894,33,111,96,23,40,1,0,0,4,0,9,23,13,2
0,"Crosby Huckabay","Georgia Tech",NA,0.289,0.413,0.545,0.959,45,150,121,20,35,7,0,8,28,10,17,23,0,0
0,"Cy Gonzalez","Quinnipiac",NA,0.296,0.383,0.296,0.678,28,86,71,9,21,0,0,0,10,2,8,10,3,1
0,"Cylie Halvorson","South Dakota State",NA,0.352,0.419,0.77,1.189,51,187,165,33,58,10,1,19,58,4,16,21,1,0
0,"Cylla Hill","Central Arkansas",NA,0.264,0.35,0.497,0.847,56,183,159,23,42,8,1,9,41,0,22,27,3,1
0,"Daisha Simon","South Carolina State",NA,0.225,0.262,0.3,0.562,31,87,80,6,18,2,2,0,7,0,4,7,0,0
0,"Daisy Hess","Georgia State",NA,0.331,0.398,0.641,1.039,46,162,145,32,48,11,2,10,41,1,15,25,7,1
0,"Daisy Munoz","Cal State Fullerton",NA,0.345,0.404,0.647,1.051,50,157,139,17,48,9,0,11,40,1,14,17,1,1
0,"Dani Dabroski","Villanova",NA,0.287,0.354,0.357,0.711,44,130,115,26,33,4,2,0,16,0,12,19,2,0
